id,created_at,slug,name,remote_category
547,2013-07-11 03:00:56.000000,assistencia-tecnica/notebooks-e-laptops/sony,Assistências Técnicas para Laptops e Notebooks Sony,false
551,2013-07-11 03:00:59.000000,assistencia-tecnica/eletrodomesticos/arno/dentro-da-garantia,Assistências Técnicas para Eletrodomésticos Arno,false
555,2013-07-11 03:01:05.000000,assistencia-tecnica/dvd-blu-ray/britania/dentro-da-garantia,Assistências Técnicas para DVD / Blu Ray Britânia,false
559,2013-07-11 03:01:06.000000,assistencia-tecnica/camera/outras,Assistências Técnicas para Câmera,false
567,2013-07-11 03:01:09.000000,assistencia-tecnica/video-game/nintendo/dentro-da-garantia,Assistências Técnicas para Videogame Nintendo,false
571,2013-07-11 03:01:10.000000,assistencia-tecnica/lava-louca/electrolux,Assistências Técnicas para Lava Louça Electrolux,false
575,2013-07-11 03:01:13.000000,assistencia-tecnica/aparelho-de-som/outras/fora-da-garantia,Assistências Técnicas para Aparelho de Som,false
583,2013-07-11 03:01:15.000000,assistencia-tecnica/micro-ondas/britania/dentro-da-garantia,Assistências Técnicas para Micro Ondas Britânia,false
587,2013-07-11 03:01:15.000000,assistencia-tecnica/micro-ondas/philco/dentro-da-garantia-df77f6bc-48a1-4a8d-b9c5-a19838266bab,Assistências Técnicas para Micro Ondas Philco,false
591,2013-07-11 03:01:16.000000,assistencia-tecnica/home-theater/panasonic/dentro-da-garantia,Assistências Técnicas para Home Theater Panasonic,false
595,2013-07-11 03:01:17.000000,assistencia-tecnica/telefone-nao-celular/samsung/dentro-da-garantia,Assistências Técnicas para Telefone Samsung,false
599,2013-07-11 03:01:19.000000,assistencia-tecnica/geladeira-e-freezer/outras/dentro-da-garantia,Assistências Técnicas para Geladeiras e Freezers,false
605,2013-07-11 03:01:26.000000,assistencia-tecnica/camera/nikon,Assistências Técnicas para Câmera Nikon,false
609,2013-07-11 03:01:26.000000,assistencia-tecnica/camera/samsung/dentro-da-garantia,Assistências Técnicas para Câmera Samsung,false
613,2013-07-11 03:01:27.000000,assistencia-tecnica/notebooks-e-laptops/acer/dentro-da-garantia,Assistências Técnicas para Laptops e Notebooks Acer,false
617,2013-07-11 03:01:28.000000,assistencia-tecnica/computador-desktop/cce/fora-da-garantia,Assistências Técnicas para Computador CCE,false
621,2013-07-11 03:01:30.000000,assistencia-tecnica/notebooks-e-laptops/positivo/fora-da-garantia,Assistências Técnicas para Laptops e Notebooks Positivo,false
625,2013-07-11 03:01:31.000000,assistencia-tecnica/tablet/positivo/fora-da-garantia,Assistências Técnicas para Tablet Positivo,false
631,2013-07-11 03:01:33.000000,assistencia-tecnica/lava-roupa/mueller/fora-da-garantia,Assistências Técnicas para Lava Roupa Mueller,false
635,2013-07-11 03:01:36.000000,assistencia-tecnica/tablet/hp,Assistências Técnicas para Tablet HP,false
641,2013-07-11 03:01:41.000000,assistencia-tecnica/computador-desktop/sony,Assistências Técnicas para Computador Sony,false
648,2013-07-11 03:01:44.000000,assistencia-tecnica/celular/cce,Assistências Técnicas para Celular CCE,false
652,2013-07-11 03:01:46.000000,assistencia-tecnica/dvd-blu-ray/sony/dentro-da-garantia,Assistências Técnicas para DVD / Blu Ray Sony,false
656,2013-07-11 03:01:46.000000,assistencia-tecnica/dvd-blu-ray/aoc/dentro-da-garantia,Assistências Técnicas para DVD / Blu Ray AOC,false
660,2013-07-11 03:01:49.000000,assistencia-tecnica/dvd-blu-ray/sony/fora-da-garantia,Assistências Técnicas para DVD / Blu Ray Sony,false
664,2013-07-11 03:01:51.000000,assistencia-tecnica/home-theater/sony/fora-da-garantia,Assistências Técnicas para Home Theater Sony,false
668,2013-07-11 03:01:58.000000,assistencia-tecnica/fogao-e-cooktop/outras/dentro-da-garantia,Assistências Técnicas para Fogão e Cooktop,false
676,2013-07-11 03:02:08.000000,assistencia-tecnica/lava-roupa/colormaq/dentro-da-garantia,Assistências Técnicas para Lava Roupa Colormaq,false
680,2013-07-11 03:02:09.000000,assistencia-tecnica/dvd-blu-ray/panasonic/dentro-da-garantia,Assistências Técnicas para DVD / Blu Ray Panasonic,false
688,2013-07-11 03:02:11.000000,assistencia-tecnica/notebooks-e-laptops/sony/fora-da-garantia,Assistências Técnicas para Laptops e Notebooks Sony,false
696,2013-07-11 03:02:12.000000,assistencia-tecnica/computador-desktop/itautec/fora-da-garantia,Assistências Técnicas para Computador Itautec,false
702,2013-07-11 03:02:12.000000,assistencia-tecnica/televisao/oac/fora-da-garantia,Assistências Técnicas para Televisor Oac,false
706,2013-07-11 03:02:13.000000,assistencia-tecnica/micro-ondas/philco/fora-da-garantia-9859252c-e466-444d-ad5a-a5430caabc78,Assistências Técnicas para Micro Ondas Philco,false
710,2013-07-11 03:02:16.000000,assistencia-tecnica/aparelho-de-som/britania/fora-da-garantia,Assistências Técnicas para Aparelho de Som Britânia,false
714,2013-07-11 03:02:17.000000,assistencia-tecnica/celular/cce/fora-da-garantia,Assistências Técnicas para Celular CCE,false
718,2013-07-11 03:02:26.000000,assistencia-tecnica/eletrodomesticos/outras/fora-da-garantia,Assistências Técnicas para Eletrodomésticos,false
722,2013-07-11 03:02:29.000000,assistencia-tecnica/dvd-blu-ray/pioneer/fora-da-garantia,Assistências Técnicas para DVD / Blu Ray Pioneer,false
726,2013-07-11 03:02:30.000000,assistencia-tecnica/dvd-blu-ray/panasonic/fora-da-garantia,Assistências Técnicas para DVD / Blu Ray Panasonic,false
731,2013-07-11 03:02:36.000000,assistencia-tecnica/camera/olympus/fora-da-garantia,Assistências Técnicas para Câmera Olympus,false
735,2013-07-11 03:02:44.000000,assistencia-tecnica/home-theater/panasonic/fora-da-garantia,Assistências Técnicas para Home Theater Panasonic,false
742,2013-07-11 03:06:20.000000,aulas/danca/zouk,Aulas de Zouk,false
750,2013-07-11 03:06:24.000000,aulas/danca/axe,Aulas de Dança - Axé,false
758,2013-07-11 03:06:25.000000,aulas/danca/ritmos,Aulas de Dança,false
764,2013-07-11 03:06:39.000000,aulas/musica/outros,Professores de Música,false
770,2013-07-11 03:06:55.000000,aulas/escolares-e-reforco/matematica/presencial,Professores particulares de Matemática,false
774,2013-07-11 03:06:56.000000,aulas/escolares-e-reforco/fisica/presencial,Professores particulares de Física,false
778,2013-07-11 03:06:57.000000,aulas/escolares-e-reforco/historia/presencial,Professores particulares de História,false
782,2013-07-11 03:06:58.000000,aulas/escolares-e-reforco/portugues/presencial,Professores particulares de Português,false
786,2013-07-11 03:07:09.000000,aulas/escolares-e-reforco/matematica/remoto,Professores particulares de Matemática,true
790,2013-07-11 03:07:16.000000,aulas/escolares-e-reforco/sociologia-e-filosofia/presencial,Professores particulares de Sociologia e Filosofia,false
794,2013-07-11 03:08:19.000000,aulas/escolares-e-reforco/ciencias/presencial,Professores particulares de Ciências,false
801,2013-07-11 03:09:14.000000,aulas/esportes/tenis,Professores para Tênis,false
809,2013-07-11 03:09:27.000000,aulas/idiomas/ingles,Professores de Inglês,false
813,2013-07-11 03:09:28.000000,aulas/idiomas/portugues-para-estrangeiros/remoto,Professores de Português para Estrangeiros,true
817,2013-07-11 03:09:31.000000,aulas/idiomas/frances,Professores de Francês,false
821,2013-07-11 03:09:32.000000,aulas/idiomas/espanhol,Professores de Espanhol,false
825,2013-07-11 03:09:35.000000,aulas/idiomas/alemao/presencial,Professores de Alemão,false
829,2013-07-11 03:10:28.000000,aulas/idiomas/espanhol/remoto,Professores de Espanhol,true
833,2013-07-11 03:11:19.000000,aulas/informatica/informatica-basica/presencial,Professores de Informática Básica,false
837,2013-07-11 03:11:20.000000,aulas/informatica/programacao/presencial,Professores de Programação,false
841,2013-07-11 03:11:35.000000,aulas/informatica/editor-de-imagens-e-videos/remoto,Professores de Edição de Imagens e Vídeos,true
845,2013-07-11 03:12:26.000000,aulas/musica/canto,Professores de Canto,false
849,2013-07-11 03:12:27.000000,aulas/musica/violino,Professores de Violino,false
857,2013-07-11 03:12:28.000000,aulas/musica/sopro,Professores de Sopro,false
863,2013-07-11 03:12:51.000000,aulas/musica/mixagem-dj,Professores de Mixagem DJ,false
867,2013-07-11 03:14:13.000000,aulas/concursos/preparacao-fisica,Aulas de Preparação Física para Concursos,false
