id,request_id,city,uf,neighborhood,latitude,longitude
7376726,6018086,Rio de Janeiro,RJ,Braz de Pina,-22.8276314,-43.2916697
7376838,6018180,Cuiabá,MT,Jardim Santa Amália,-15.588836,-56.1352444
7377162,6018470,Mauá,SP,Jardim Primavera,-23.668163,-46.4617086
7377242,6018544,Rio de Janeiro,RJ,Praça da Bandeira,-22.9091217,-43.2150789
7377278,6018573,São Paulo,SP,Cerqueira César,-23.5614068,-46.6664178
7377334,6018621,São Paulo,SP,Ipiranga,-23.5901507,-46.6070982
7377486,6018758,Belo Horizonte,MG,Estoril,-19.9555519,-43.9673345
7377498,6018768,Rio de Janeiro,RJ,Barra da Tijuca,-23.0073377,-43.2931634
7377506,6018776,Taubaté,SP,Parque São Cristóvão,-23.0022475,-45.5702089
7378070,6019263,Recife,PE,Várzea,-8.0400437,-34.9531083
7378286,6019451,Goiânia,GO,Jardim Goiás,-16.7004418,-49.2412929
7378346,6019503,São Paulo,SP,Vila Romana,-23.5265491,-46.6943317
7378382,6019534,Contagem,MG,Industrial,-19.9697343,-44.0262342
7378406,6019558,São Paulo,SP,Vila Clementino,-23.6046238,-46.6458867
7378438,6019586,Natal,RN,Santos Reis,-5.7724293,-35.1962152
7378486,6019630,Rio de Janeiro,RJ,Praça Seca,-22.89229,-43.3482964
7378574,6019706,São Paulo,SP,Cidade D'Abril,-23.4509866,-46.7459221
7378614,6019739,Araruama,RJ,,-22.8636192,-42.3336313
7378718,6019828,Recife,PE,Graças,-8.0471663,-34.8987373
7378742,6019850,São Paulo,SP,Jardim Mitsutani,-23.6467649,-46.7803361
7378794,6019896,Rio de Janeiro,RJ,Marechal Hermes,-22.8616806,-43.3717331
7378858,6019952,São Paulo,SP,Vila Granada,-23.5179205,-46.5185152
7378934,6020013,Barueri,SP,Jardim Iracema,-23.51135,-46.8627106
7379006,6020076,Santo André,SP,Vila Assunção,-23.6669294,-46.5290936
7379018,6020086,Rio das Ostras,RJ,Ouro Verde,-22.5068057,-41.9245806
7379062,6020128,Salvador,BA,Paripe,-12.8367444,-38.4639909
7379246,6020284,São Paulo,SP,Consolação,-23.5495346,-46.6484092
7379458,6020458,São Paulo,SP,Nossa Senhora do Ó,-23.4998488,-46.701238
7379562,6020541,São Paulo,SP,Consolação,-23.5548434,-46.6583996
7379578,6020557,Rio de Janeiro,RJ,Anil,-22.9606323,-43.3298656
7379694,6020658,Manaus,AM,Tancredo Neves,-3.056948,-59.9450137
7380114,6021003,Niterói,RJ,Boa Viagem,-22.9073597,-43.1306127
7380326,6021186,São Gonçalo do Amarante,RN,,-5.7852788,-35.328873
7380474,6021316,Monte Azul Paulista,SP,,-20.9069644,-48.6391716
7380674,6021480,Santo André,SP,Parque Erasmo Assunção,-23.6443687,-46.4982116
